country_region_code,country_region,sub_region_1,sub_region_2,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
AU,Australia,Australian Capital Territory,,AU-ACT,,2020-03-02,1,13,13,19,27,-3
AU,Australia,New South Wales,,AU-NSW,,2020-03-02,-1,5,-7,7,18,-2
AU,Australia,Northern Territory,,AU-NT,,2020-03-02,5,7,16,8,23,-1
AU,Australia,Queensland,,AU-QLD,,2020-03-02,-2,4,-11,6,18,-2
AU,Australia,South Australia,,AU-SA,,2020-03-02,1,5,-12,16,19,-2
AU,Australia,Tasmania,,AU-TAS,,2020-03-02,-4,0,-27,7,20,-1
AU,Australia,Victoria,,AU-VIC,,2020-03-02,0,6,8,14,19,-2
AU,Australia,Western Australia,,AU-WA,,2020-03-02,-5,3,31,-29,-62,12
AU,Australia,,,,,2020-03-02,0,5,-1,6,10,0
AU,Australia,Australian Capital Territory,,AU-ACT,,2020-03-03,1,5,8,9,21,-2
AU,Australia,New South Wales,,AU-NSW,,2020-03-03,-4,6,-27,6,15,-1
AU,Australia,Northern Territory,,AU-NT,,2020-03-03,2,-1,4,8,17,-1
AU,Australia,Queensland,,AU-QLD,,2020-03-03,-2,6,-2,4,14,-2
AU,Australia,South Australia,,AU-SA,,2020-03-03,0,4,-13,12,15,-1
AU,Australia,Tasmania,,AU-TAS,,2020-03-03,-3,1,-6,5,16,-1
AU,Australia,Victoria,,AU-VIC,,2020-03-03,0,7,-5,11,15,-2
AU,Australia,Western Australia,,AU-WA,,2020-03-03,0,15,-5,9,17,-2
AU,Australia,,,,,2020-03-03,-2,7,-14,9,15,-1
AU,Australia,Australian Capital Territory,,AU-ACT,,2020-03-04,-4,6,-36,2,22,0
AU,Australia,New South Wales,,AU-NSW,,2020-03-04,-3,14,-30,2,13,0
AU,Australia,Northern Territory,,AU-NT,,2020-03-04,8,7,7,4,20,-2
AU,Australia,Queensland,,AU-QLD,,2020-03-04,-2,8,-9,4,11,-1
AU,Australia,South Australia,,AU-SA,,2020-03-04,1,8,0,13,14,-1
AU,Australia,Tasmania,,AU-TAS,,2020-03-04,0,6,-5,8,18,-2
AU,Australia,Victoria,,AU-VIC,,2020-03-04,2,15,-11,11,14,-2
AU,Australia,Western Australia,,AU-WA,,2020-03-04,-1,18,-6,7,17,-1
AU,Australia,,,,,2020-03-04,0,12,-15,7,14,-1
AU,Australia,Australian Capital Territory,,AU-ACT,,2020-03-05,1,6,-31,11,20,-2
AU,Australia,New South Wales,,AU-NSW,,2020-03-05,-3,7,-38,2,14,1
AU,Australia,Northern Territory,,AU-NT,,2020-03-05,9,12,28,7,16,-1
AU,Australia,Queensland,,AU-QLD,,2020-03-05,-3,8,-1,6,11,-2
AU,Australia,South Australia,,AU-SA,,2020-03-05,6,12,5,17,13,-2
AU,Australia,Tasmania,,AU-TAS,,2020-03-05,-8,-3,-35,-1,15,2
AU,Australia,Victoria,,AU-VIC,,2020-03-05,-2,11,-28,10,13,0
AU,Australia,Western Australia,,AU-WA,,2020-03-05,0,14,-7,8,16,-1
AU,Australia,,,,,2020-03-05,-2,9,-19,6,13,0
AU,Australia,Australian Capital Territory,,AU-ACT,,2020-03-06,3,15,20,19,23,-4
AU,Australia,New South Wales,,AU-NSW,,2020-03-06,2,14,-11,6,17,-2
AU,Australia,Northern Territory,,AU-NT,,2020-03-06,12,12,12,2,20,-2
AU,Australia,Queensland,,AU-QLD,,2020-03-06,-1,6,-11,5,16,-2
AU,Australia,South Australia,,AU-SA,,2020-03-06,7,11,13,20,13,-3
AU,Australia,Tasmania,,AU-TAS,,2020-03-06,0,4,-3,9,17,-2
AU,Australia,Victoria,,AU-VIC,,2020-03-06,8,16,-6,12,13,-3
AU,Australia,Western Australia,,AU-WA,,2020-03-06,1,15,-8,5,18,-1
AU,Australia,,,,,2020-03-06,3,14,-6,9,16,-2
AU,Australia,Australian Capital Territory,,AU-ACT,,2020-03-07,5,8,83,12,4,-3
AU,Australia,New South Wales,,AU-NSW,,2020-03-07,3,15,-1,5,4,0
AU,Australia,Northern Territory,,AU-NT,,2020-03-07,11,14,13,-4,2,1
AU,Australia,Queensland,,AU-QLD,,2020-03-07,2,8,-3,-2,2,1
AU,Australia,South Australia,,AU-SA,,2020-03-07,8,11,18,13,1,-1
AU,Australia,Tasmania,,AU-TAS,,2020-03-07,-2,-2,-11,-3,-3,0
AU,Australia,Victoria,,AU-VIC,,2020-03-07,3,14,18,10,0,-1
AU,Australia,Western Australia,,AU-WA,,2020-03-07,4,14,3,-1,5,1
AU,Australia,,,,,2020-03-07,3,12,10,3,2,0
AU,Australia,Australian Capital Territory,,AU-ACT,,2020-03-08,2,7,48,2,0,-3
AU,Australia,New South Wales,,AU-NSW,,2020-03-08,2,11,-1,-7,0,1
AU,Australia,Northern Territory,,AU-NT,,2020-03-08,5,9,-4,-7,5,2
AU,Australia,Queensland,,AU-QLD,,2020-03-08,2,5,-7,-4,0,1
AU,Australia,South Australia,,AU-SA,,2020-03-08,12,11,44,6,-2,-2
AU,Australia,Tasmania,,AU-TAS,,2020-03-08,-4,-5,-4,-12,-2,1
AU,Australia,Victoria,,AU-VIC,,2020-03-08,4,8,28,12,-5,-2
AU,Australia,Western Australia,,AU-WA,,2020-03-08,4,9,3,-2,1,1
AU,Australia,,,,,2020-03-08,3,8,14,0,-2,0
AU,Australia,Australian Capital Territory,,AU-ACT,,2020-03-09,-4,13,76,-25,-72,10
AU,Australia,New South Wales,,AU-NSW,,2020-03-09,-2,8,-17,4,16,0
AU,Australia,Northern Territory,,AU-NT,,2020-03-09,3,4,10,1,22,0
AU,Australia,Queensland,,AU-QLD,,2020-03-09,-8,-2,-43,-1,16,1
AU,Australia,South Australia,,AU-SA,,2020-03-09,-25,-19,54,-24,-67,12
AU,Australia,Tasmania,,AU-TAS,,2020-03-09,-18,-10,-3,-18,-60,9
AU,Australia,Victoria,,AU-VIC,,2020-03-09,3,6,88,-32,-65,11
AU,Australia,Western Australia,,AU-WA,,2020-03-09,-2,8,-9,5,18,-1
AU,Australia,,,,,2020-03-09,-3,3,5,-9,-14,4
AU,Australia,Australian Capital Territory,,AU-ACT,,2020-03-10,-1,10,1,8,23,-3
AU,Australia,New South Wales,,AU-NSW,,2020-03-10,-4,6,-15,1,13,-1
AU,Australia,Northern Territory,,AU-NT,,2020-03-10,3,0,11,4,17,-2
AU,Australia,Queensland,,AU-QLD,,2020-03-10,-4,4,-25,1,13,0
AU,Australia,South Australia,,AU-SA,,2020-03-10,5,18,-2,16,13,-2
AU,Australia,Tasmania,,AU-TAS,,2020-03-10,-5,2,-7,2,12,-1
AU,Australia,Victoria,,AU-VIC,,2020-03-10,-1,11,0,9,12,-1
AU,Australia,Western Australia,,AU-WA,,2020-03-10,-2,9,-1,9,17,-1
AU,Australia,,,,,2020-03-10,-2,9,-11,6,13,-1
AU,Australia,Australian Capital Territory,,AU-ACT,,2020-03-11,0,13,18,8,22,-2
AU,Australia,New South Wales,,AU-NSW,,2020-03-11,-4,7,-5,2,13,-1
AU,Australia,Northern Territory,,AU-NT,,2020-03-11,4,6,15,3,19,-1
AU,Australia,Queensland,,AU-QLD,,2020-03-11,-3,5,-9,3,11,0
AU,Australia,South Australia,,AU-SA,,2020-03-11,-1,7,6,14,14,-1
AU,Australia,Tasmania,,AU-TAS,,2020-03-11,-4,0,-3,5,17,-1
AU,Australia,Victoria,,AU-VIC,,2020-03-11,-1,13,6,8,14,-1
AU,Australia,Western Australia,,AU-WA,,2020-03-11,-3,10,-4,5,16,-1
AU,Australia,,,,,2020-03-11,-1,8,-2,6,14,-1
AU,Australia,Australian Capital Territory,,AU-ACT,,2020-03-12,4,13,17,16,20,-3
AU,Australia,New South Wales,,AU-NSW,,2020-03-12,0,10,4,2,13,-1
AU,Australia,Northern Territory,,AU-NT,,2020-03-12,4,4,19,4,16,0
AU,Australia,Queensland,,AU-QLD,,2020-03-12,-4,4,-21,2,10,-1
AU,Australia,South Australia,,AU-SA,,2020-03-12,3,9,8,21,12,-1
AU,Australia,Tasmania,,AU-TAS,,2020-03-12,-4,2,5,9,18,-1
AU,Australia,Victoria,,AU-VIC,,2020-03-12,-1,15,8,10,13,-1
AU,Australia,Western Australia,,AU-WA,,2020-03-12,0,13,-6,4,16,-1
AU,Australia,,,,,2020-03-12,-1,11,2,6,13,-1
AU,Australia,Australian Capital Territory,,AU-ACT,,2020-03-13,5,20,31,12,25,-2
AU,Australia,New South Wales,,AU-NSW,,2020-03-13,-1,14,-1,1,14,-2
AU,Australia,Northern Territory,,AU-NT,,2020-03-13,6,15,14,-2,20,-2
AU,Australia,Queensland,,AU-QLD,,2020-03-13,-1,9,-13,1,15,-1
AU,Australia,South Australia,,AU-SA,,2020-03-13,4,12,-2,20,17,-2
AU,Australia,Tasmania,,AU-TAS,,2020-03-13,-6,0,-30,0,17,1
AU,Australia,Victoria,,AU-VIC,,2020-03-13,2,22,-20,5,13,0
AU,Australia,Western Australia,,AU-WA,,2020-03-13,0,18,-8,1,17,-1
AU,Australia,,,,,2020-03-13,1,17,-8,5,14,-1
AU,Australia,Australian Capital Territory,,AU-ACT,,2020-03-14,5,26,13,-4,8,2
AU,Australia,New South Wales,,AU-NSW,,2020-03-14,-5,14,-35,-14,1,2
AU,Australia,Northern Territory,,AU-NT,,2020-03-14,9,13,17,-10,2,1
AU,Australia,Queensland,,AU-QLD,,2020-03-14,1,14,-8,-6,2,2
AU,Australia,South Australia,,AU-SA,,2020-03-14,6,18,-3,12,4,1
AU,Australia,Tasmania,,AU-TAS,,2020-03-14,-3,2,-21,1,3,2
AU,Australia,Victoria,,AU-VIC,,2020-03-14,1,30,-11,-2,4,3
AU,Australia,Western Australia,,AU-WA,,2020-03-14,1,23,-21,-13,3,3
AU,Australia,,,,,2020-03-14,-1,20,-15,-10,3,2
AU,Australia,Australian Capital Territory,,AU-ACT,,2020-03-15,3,29,47,3,3,0
AU,Australia,New South Wales,,AU-NSW,,2020-03-15,-3,21,-16,-17,-2,3
AU,Australia,Northern Territory,,AU-NT,,2020-03-15,3,21,10,-9,4,2
AU,Australia,Queensland,,AU-QLD,,2020-03-15,-1,15,-6,-8,-1,2
AU,Australia,South Australia,,AU-SA,,2020-03-15,2,21,9,0,0,1
AU,Australia,Tasmania,,AU-TAS,,2020-03-15,-7,5,-22,-3,1,3
AU,Australia,Victoria,,AU-VIC,,2020-03-15,-2,32,-14,-12,-3,3
AU,Australia,Western Australia,,AU-WA,,2020-03-15,-1,27,-18,-15,1,3
AU,Australia,,,,,2020-03-15,-2,24,-8,-13,-1,2
AU,Australia,Australian Capital Territory,,AU-ACT,,2020-03-16,-1,40,1,2,23,0
AU,Australia,New South Wales,,AU-NSW,,2020-03-16,-5,29,-34,-13,9,3
AU,Australia,Northern Territory,,AU-NT,,2020-03-16,7,21,12,-4,24,-1
AU,Australia,Queensland,,AU-QLD,,2020-03-16,-1,26,-17,-7,14,1
AU,Australia,South Australia,,AU-SA,,2020-03-16,0,35,-12,10,16,0
AU,Australia,Tasmania,,AU-TAS,,2020-03-16,-9,13,-26,1,18,0
AU,Australia,Victoria,,AU-VIC,,2020-03-16,0,45,9,-3,11,0
AU,Australia,Western Australia,,AU-WA,,2020-03-16,-2,34,-16,-5,15,1
AU,Australia,,,,,2020-03-16,-1,33,-18,-7,12,1
AU,Australia,Australian Capital Territory,,AU-ACT,,2020-03-17,-3,33,-7,-12,17,1
AU,Australia,New South Wales,,AU-NSW,,2020-03-17,-6,35,-26,-19,2,4
AU,Australia,Northern Territory,,AU-NT,,2020-03-17,2,12,7,-6,16,0
AU,Australia,Queensland,,AU-QLD,,2020-03-17,-4,29,-12,-12,7,2
AU,Australia,South Australia,,AU-SA,,2020-03-17,-4,40,-19,1,9,2
AU,Australia,Tasmania,,AU-TAS,,2020-03-17,-9,14,-14,-6,12,1
AU,Australia,Victoria,,AU-VIC,,2020-03-17,-5,37,-10,-16,3,4
AU,Australia,Western Australia,,AU-WA,,2020-03-17,-5,38,-30,-10,11,2
AU,Australia,,,,,2020-03-17,-5,35,-21,-14,5,3
AU,Australia,Australian Capital Territory,,AU-ACT,,2020-03-18,-5,42,2,-15,12,3
AU,Australia,New South Wales,,AU-NSW,,2020-03-18,-8,36,-13,-21,-2,5
AU,Australia,Northern Territory,,AU-NT,,2020-03-18,3,20,5,-8,18,1
AU,Australia,Queensland,,AU-QLD,,2020-03-18,-6,26,-14,-15,3,4
AU,Australia,South Australia,,AU-SA,,2020-03-18,-7,38,-11,-5,6,3
AU,Australia,Tasmania,,AU-TAS,,2020-03-18,-13,12,-24,-9,9,3
AU,Australia,Victoria,,AU-VIC,,2020-03-18,-10,30,-17,-24,-1,6
AU,Australia,Western Australia,,AU-WA,,2020-03-18,-5,41,-22,-14,9,3
AU,Australia,,,,,2020-03-18,-7,32,-15,-18,2,5
AU,Australia,Australian Capital Territory,,AU-ACT,,2020-03-19,-2,37,3,-12,10,3
AU,Australia,New South Wales,,AU-NSW,,2020-03-19,-9,30,-3,-24,-3,6
AU,Australia,Northern Territory,,AU-NT,,2020-03-19,5,20,5,-7,16,1
AU,Australia,Queensland,,AU-QLD,,2020-03-19,-9,21,-7,-18,1,3
AU,Australia,South Australia,,AU-SA,,2020-03-19,-7,31,-14,-8,3,4
AU,Australia,Tasmania,,AU-TAS,,2020-03-19,-15,10,-20,-14,10,4
AU,Australia,Victoria,,AU-VIC,,2020-03-19,-15,21,-19,-28,-4,7
AU,Australia,Western Australia,,AU-WA,,2020-03-19,-7,28,-24,-14,7,4
AU,Australia,,,,,2020-03-19,-10,25,-9,-22,0,5
AU,Australia,Australian Capital Territory,,AU-ACT,,2020-03-20,-7,32,17,-14,11,5
AU,Australia,New South Wales,,AU-NSW,,2020-03-20,-14,20,-3,-25,-3,6
AU,Australia,Northern Territory,,AU-NT,,2020-03-20,4,23,10,-10,18,1
AU,Australia,Queensland,,AU-QLD,,2020-03-20,-11,15,-9,-19,4,4
AU,Australia,South Australia,,AU-SA,,2020-03-20,-10,22,-21,-9,6,4
AU,Australia,Tasmania,,AU-TAS,,2020-03-20,-17,3,-30,-17,8,5
AU,Australia,Victoria,,AU-VIC,,2020-03-20,-12,16,-24,-29,-4,7
AU,Australia,Western Australia,,AU-WA,,2020-03-20,-10,25,-19,-21,5,5
AU,Australia,,,,,2020-03-20,-12,20,-12,-22,0,6
AU,Australia,Australian Capital Territory,,AU-ACT,,2020-03-21,-9,25,52,-20,1,4
AU,Australia,New South Wales,,AU-NSW,,2020-03-21,-18,16,-9,-26,-5,6
AU,Australia,Northern Territory,,AU-NT,,2020-03-21,-1,19,5,-21,-2,4
AU,Australia,Queensland,,AU-QLD,,2020-03-21,-15,8,-6,-25,-5,6
AU,Australia,South Australia,,AU-SA,,2020-03-21,-15,14,-18,-19,-3,6
AU,Australia,Tasmania,,AU-TAS,,2020-03-21,-18,-11,-33,-27,-5,7
AU,Australia,Victoria,,AU-VIC,,2020-03-21,-19,7,-18,-31,-5,8
AU,Australia,Western Australia,,AU-WA,,2020-03-21,-15,16,-21,-29,-3,7
AU,Australia,,,,,2020-03-21,-17,11,-9,-28,-4,7
AU,Australia,Australian Capital Territory,,AU-ACT,,2020-03-22,-11,25,44,-26,-8,4
AU,Australia,New South Wales,,AU-NSW,,2020-03-22,-16,17,3,-34,-12,6
AU,Australia,Northern Territory,,AU-NT,,2020-03-22,-5,12,-1,-18,-2,4
